Booking_Key,FK_Customer_Key,FK_Date_Key,FK_Movies_Key,FK_Theater_Key,FK_PromoCode_Key,Sales,TicketsSold,CancelledAmount,CancelledQuantity,PromoCodeValue,Customer_Key,Name,Address,City_Customer,Zip,State_Customer,Country_Customer,date_key,date,year,month,day,week,quarter,day_in_week,month_name,day_name,Movie_Key,Title,Rating,Genre,Theater_Key,Theater_Name,Theater_ParentGroup,Country_theater,State_theater,City_theater,ZipCode,PromoCode_Key,PromoCode,Overall_Profit
11,11,4,3,3,No Key,15,2,0.0,2,0.0,11,Maxine Delgado,6567 Diam Avenue,Stockholm,79867,Stockholms län,US,4,2019-01-04,2019,1,4,1,1,6,January,Tuesday,3,Morbi neque,1,Action,3,Ullamcorper Magna Incorporated,Century,US,LX,Bastogne,25959,No Key,Not Availabe,0.0
12,12,211,3,3,No Key,15,2,0.0,2,0.0,12,Rooney Finley,"P.O. Box 230, 7363 Montes,  Av.",Courbevoie,17091,IL,US,211,2019-07-30,2019,7,30,31,3,3,July,Tuesday,3,Morbi neque,1,Action,3,Ullamcorper Magna Incorporated,Century,US,LX,Bastogne,25959,No Key,Not Availabe,0.0
13,13,83,3,1,No Key,15,2,0.0,2,0.0,13,Taylor Mcfadden,944-7585 Eros. Av.,Schoonaarde,95612,Oost-Vlaanderen,US,83,2019-03-24,2019,3,24,13,1,1,March,Tuesday,3,Morbi neque,1,Action,1,Curabitur Ltd,Century,US,ON,Whitby,81324,No Key,Not Availabe,0.0
14,14,101,3,3,No Key,15,2,0.0,2,0.0,14,Evelyn Perry,Ap #598-3295 Nec Street,Slupsk,86100,Pomorskie,US,101,2019-04-11,2019,4,11,15,2,5,April,Tuesday,3,Morbi neque,1,Action,3,Ullamcorper Magna Incorporated,Century,US,LX,Bastogne,25959,No Key,Not Availabe,0.0
15,15,256,3,1,No Key,15,2,0.0,2,0.0,15,Kaseem Long,Ap #808-8539 Ornare Rd.,Bridge of Allan,61201,ST,US,256,2019-09-13,2019,9,13,37,3,6,September,Tuesday,3,Morbi neque,1,Action,1,Curabitur Ltd,Century,US,ON,Whitby,81324,No Key,Not Availabe,0.0
16,16,15,3,2,No Key,15,2,0.0,2,0.0,16,Lucian Austin,"P.O. Box 473, 7668 Orci,  Rd.",Iseyin,22014,OY,US,15,2019-01-15,2019,1,15,3,1,3,January,Tuesday,3,Morbi neque,1,Action,2,Velit Pellentesque Ultricies LLP,Century,US,MI,Flint,40101,No Key,Not Availabe,0.0
17,17,264,3,1,No Key,15,2,10.0,2,0.0,17,Ryder Hampton,"P.O. Box 499, 7566 Adipiscing Avenue",Santa Marina,46342,Campania,US,264,2019-09-21,2019,9,21,38,3,7,September,Tuesday,3,Morbi neque,1,Action,1,Curabitur Ltd,Century,US,ON,Whitby,81324,No Key,Not Availabe,10.0
18,18,318,3,3,No Key,15,2,0.0,2,0.0,18,Althea Andrews,"P.O. Box 489, 4205 Est Avenue",Dijon,85950,BO,US,318,2019-11-14,2019,11,14,46,4,5,November,Tuesday,3,Morbi neque,1,Action,3,Ullamcorper Magna Incorporated,Century,US,LX,Bastogne,25959,No Key,Not Availabe,0.0
19,19,156,3,2,No Key,15,2,0.0,2,0.0,19,Jeremy Spencer,Ap #565-3300 Curabitur St.,Patna,30899,BR,US,156,2019-06-05,2019,6,5,23,2,4,June,Tuesday,3,Morbi neque,1,Action,2,Velit Pellentesque Ultricies LLP,Century,US,MI,Flint,40101,No Key,Not Availabe,0.0
20,20,146,3,3,No Key,15,2,0.0,2,0.0,20,Yoshio Butler,Ap #920-1984 Rhoncus. Avenue,Vienna,85676,Wie,US,146,2019-05-26,2019,5,26,22,2,1,May,Tuesday,3,Morbi neque,1,Action,3,Ullamcorper Magna Incorporated,Century,US,LX,Bastogne,25959,No Key,Not Availabe,0.0
21,21,260,3,1,No Key,15,2,0.0,2,0.0,21,Jamal Taylor,8157 Primis Rd.,Karapinar,87885,Kon,US,260,2019-09-17,2019,9,17,38,3,3,September,Tuesday,3,Morbi neque,1,Action,1,Curabitur Ltd,Century,US,ON,Whitby,81324,No Key,Not Availabe,0.0
22,22,221,3,2,No Key,15,2,0.0,2,0.0,22,Alden Payne,862-837 Eu Rd.,Stalowa Wola,77328,Podkarpackie,US,221,2019-08-09,2019,8,9,32,3,6,August,Tuesday,3,Morbi neque,1,Action,2,Velit Pellentesque Ultricies LLP,Century,US,MI,Flint,40101,No Key,Not Availabe,0.0
23,23,7,3,2,No Key,15,2,0.0,2,0.0,23,Yoshio Garner,"P.O. Box 674, 7116 Ullamcorper St.",Macul,73324,RM,US,7,2019-01-07,2019,1,7,2,1,2,January,Tuesday,3,Morbi neque,1,Action,2,Velit Pellentesque Ultricies LLP,Century,US,MI,Flint,40101,No Key,Not Availabe,0.0
24,24,6,3,3,No Key,15,2,0.0,2,0.0,24,Selma Higgins,7880 Aenean Ave,Oxford County,86782,Ontario,US,6,2019-01-06,2019,1,6,2,1,1,January,Tuesday,3,Morbi neque,1,Action,3,Ullamcorper Magna Incorporated,Century,US,LX,Bastogne,25959,No Key,Not Availabe,0.0
25,25,10,3,2,No Key,15,2,0.0,2,0.0,25,Arthur Mcfarland,4818 Accumsan Rd.,Wagga Wagga,80629,New South Wales,US,10,2019-01-10,2019,1,10,2,1,5,January,Tuesday,3,Morbi neque,1,Action,2,Velit Pellentesque Ultricies LLP,Century,US,MI,Flint,40101,No Key,Not Availabe,0.0
26,26,29,3,2,5.0,25,3,0.0,3,5.0,26,Marah Woodward,Ap #962-8218 Vel St.,Dublin,71282,L,US,29,2019-01-29,2019,1,29,5,1,3,January,Tuesday,3,Morbi neque,1,Action,2,Velit Pellentesque Ultricies LLP,Century,US,MI,Flint,40101,5.0,IJO12KKK5HL,0.0
27,27,114,3,1,5.0,25,3,0.0,3,5.0,27,Cassidy Todd,"P.O. Box 921, 956 Dolor. Avenue",Elsene,89566,BU,US,114,2019-04-24,2019,4,24,17,2,4,April,Tuesday,3,Morbi neque,1,Action,1,Curabitur Ltd,Century,US,ON,Whitby,81324,5.0,IJO12KKK5HL,0.0
28,28,161,3,2,5.0,25,3,0.0,3,5.0,28,Garrison Mcintosh,460-9694 At Rd.,Termini Imerese,91851,SIC,US,161,2019-06-10,2019,6,10,24,2,2,June,Tuesday,3,Morbi neque,1,Action,2,Velit Pellentesque Ultricies LLP,Century,US,MI,Flint,40101,5.0,IJO12KKK5HL,0.0
29,29,142,3,3,5.0,25,3,0.0,3,5.0,29,Brett Short,473-8562 Malesuada Ave,Petrolina,89881,Pernambuco,US,142,2019-05-22,2019,5,22,21,2,4,May,Tuesday,3,Morbi neque,1,Action,3,Ullamcorper Magna Incorporated,Century,US,LX,Bastogne,25959,5.0,IJO12KKK5HL,0.0
30,30,224,3,2,5.0,25,3,0.0,3,5.0,30,Jillian Bryan,"P.O. Box 629, 2714 Ac,  Road",Gold Coast,33192,QLD,US,224,2019-08-12,2019,8,12,33,3,2,August,Tuesday,3,Morbi neque,1,Action,2,Velit Pellentesque Ultricies LLP,Century,US,MI,Flint,40101,5.0,IJO12KKK5HL,0.0
31,31,58,3,1,5.0,25,3,0.0,3,5.0,31,Carlos Puckett,2074 Penatibus St.,Bida,67648,Niger,US,58,2019-02-27,2019,2,27,9,1,4,February,Tuesday,3,Morbi neque,1,Action,1,Curabitur Ltd,Century,US,ON,Whitby,81324,5.0,IJO12KKK5HL,0.0
32,32,255,3,1,5.0,25,3,0.0,3,5.0,32,Jolie Miles,348-7577 Sed Rd.,Mjölby,89732,Östergötlands län,US,255,2019-09-12,2019,9,12,37,3,5,September,Tuesday,3,Morbi neque,1,Action,1,Curabitur Ltd,Century,US,ON,Whitby,81324,5.0,IJO12KKK5HL,0.0
33,33,141,3,3,5.0,25,3,0.0,3,5.0,33,Venus Gray,Ap #541-4735 Semper Ave,Vienna,30659,Vienna,US,141,2019-05-21,2019,5,21,21,2,3,May,Tuesday,3,Morbi neque,1,Action,3,Ullamcorper Magna Incorporated,Century,US,LX,Bastogne,25959,5.0,IJO12KKK5HL,0.0
34,34,258,3,1,5.0,25,3,0.0,3,5.0,34,Norman Richardson,857-6919 Eu Rd.,Oakham,63010,Rutland,US,258,2019-09-15,2019,9,15,38,3,1,September,Tuesday,3,Morbi neque,1,Action,1,Curabitur Ltd,Century,US,ON,Whitby,81324,5.0,IJO12KKK5HL,0.0
35,35,227,3,1,5.0,25,3,20.0,3,5.0,35,Nyssa Mcconnell,823-9115 Amet Rd.,Gorakhpur,69366,Uttar Pradesh,US,227,2019-08-15,2019,8,15,33,3,5,August,Tuesday,3,Morbi neque,1,Action,1,Curabitur Ltd,Century,US,ON,Whitby,81324,5.0,IJO12KKK5HL,20.0
36,36,41,3,3,5.0,25,3,0.0,3,5.0,36,Erica Hutchinson,386-7153 Sagittis Avenue,Vanier,14522,ON,US,41,2019-02-10,2019,2,10,7,1,1,February,Tuesday,3,Morbi neque,1,Action,3,Ullamcorper Magna Incorporated,Century,US,LX,Bastogne,25959,5.0,IJO12KKK5HL,0.0
37,37,161,3,3,5.0,25,3,0.0,3,5.0,37,Ivana Kent,8409 Duis Road,Bauchi,14421,Bauchi,US,161,2019-06-10,2019,6,10,24,2,2,June,Tuesday,3,Morbi neque,1,Action,3,Ullamcorper Magna Incorporated,Century,US,LX,Bastogne,25959,5.0,IJO12KKK5HL,0.0
38,38,44,3,1,5.0,25,3,0.0,3,5.0,38,Evan Andrews,"P.O. Box 364, 1889 Praesent Ave",Asnières-sur-Seine,29236,IL,US,44,2019-02-13,2019,2,13,7,1,4,February,Tuesday,3,Morbi neque,1,Action,1,Curabitur Ltd,Century,US,ON,Whitby,81324,5.0,IJO12KKK5HL,0.0
39,39,52,3,3,5.0,25,3,0.0,3,5.0,39,Ayanna Mclaughlin,Ap #423-2350 Tellus. Rd.,Berlin,76845,Berlin,US,52,2019-02-21,2019,2,21,8,1,5,February,Tuesday,3,Morbi neque,1,Action,3,Ullamcorper Magna Incorporated,Century,US,LX,Bastogne,25959,5.0,IJO12KKK5HL,0.0
40,40,126,3,1,5.0,25,3,0.0,3,5.0,40,Kelsie Castro,6515 Lectus Street,Subbiano,48365,TOS,US,126,2019-05-06,2019,5,6,19,2,2,May,Tuesday,3,Morbi neque,1,Action,1,Curabitur Ltd,Century,US,ON,Whitby,81324,5.0,IJO12KKK5HL,0.0
41,41,154,3,2,5.0,25,3,0.0,3,5.0,41,Jocelyn Hopper,Ap #921-345 Arcu Av.,Achalpur,59349,MH,US,154,2019-06-03,2019,6,3,23,2,2,June,Tuesday,3,Morbi neque,1,Action,2,Velit Pellentesque Ultricies LLP,Century,US,MI,Flint,40101,5.0,IJO12KKK5HL,0.0
42,42,73,3,2,5.0,25,3,0.0,3,5.0,42,Graiden Kelly,"P.O. Box 981, 3313 Vel Street",Amlwch,75721,Anglesey,US,73,2019-03-14,2019,3,14,11,1,5,March,Tuesday,3,Morbi neque,1,Action,2,Velit Pellentesque Ultricies LLP,Century,US,MI,Flint,40101,5.0,IJO12KKK5HL,0.0
43,43,218,3,1,5.0,25,3,0.0,3,5.0,43,Lydia Moreno,543-699 Nulla Av.,Beerzel,37358,Antwerpen,US,218,2019-08-06,2019,8,6,32,3,3,August,Tuesday,3,Morbi neque,1,Action,1,Curabitur Ltd,Century,US,ON,Whitby,81324,5.0,IJO12KKK5HL,0.0
44,44,231,3,3,5.0,25,3,0.0,3,5.0,44,Calista Horn,Ap #762-8557 Sem Ave,Austin,46261,TX,US,231,2019-08-19,2019,8,19,34,3,2,August,Tuesday,3,Morbi neque,1,Action,3,Ullamcorper Magna Incorporated,Century,US,LX,Bastogne,25959,5.0,IJO12KKK5HL,0.0
45,45,182,3,3,5.0,25,3,0.0,3,5.0,45,Herrod Key,Ap #460-1258 Nam Av.,Lint,60665,Antwerpen,US,182,2019-07-01,2019,7,1,27,3,2,July,Tuesday,3,Morbi neque,1,Action,3,Ullamcorper Magna Incorporated,Century,US,LX,Bastogne,25959,5.0,IJO12KKK5HL,0.0
46,46,214,3,3,5.0,25,3,0.0,3,5.0,46,Charity Holloway,589-6758 Inceptos Avenue,Darbhanga,55753,Bihar,US,214,2019-08-02,2019,8,2,31,3,6,August,Tuesday,3,Morbi neque,1,Action,3,Ullamcorper Magna Incorporated,Century,US,LX,Bastogne,25959,5.0,IJO12KKK5HL,0.0
47,47,205,3,2,5.0,25,3,0.0,3,5.0,47,Kylynn Leon,Ap #705-3839 Et Rd.,Granada,38042,AN,US,205,2019-07-24,2019,7,24,30,3,4,July,Tuesday,3,Morbi neque,1,Action,2,Velit Pellentesque Ultricies LLP,Century,US,MI,Flint,40101,5.0,IJO12KKK5HL,0.0
48,48,61,3,3,5.0,25,3,0.0,3,5.0,48,Eve Preston,7127 Luctus Rd.,Benalla,57591,Victoria,US,61,2019-03-02,2019,3,2,9,1,7,March,Tuesday,3,Morbi neque,1,Action,3,Ullamcorper Magna Incorporated,Century,US,LX,Bastogne,25959,5.0,IJO12KKK5HL,0.0
49,49,8,3,3,5.0,25,3,0.0,3,5.0,49,Ruby Roberson,7835 Odio. Av.,Thames,23637,North Island,US,8,2019-01-08,2019,1,8,2,1,3,January,Tuesday,3,Morbi neque,1,Action,3,Ullamcorper Magna Incorporated,Century,US,LX,Bastogne,25959,5.0,IJO12KKK5HL,0.0
50,50,173,3,3,5.0,25,3,0.0,3,5.0,50,Aileen Fitzgerald,Ap #796-2109 Magna Road,João Pessoa,86954,PB,US,173,2019-06-22,2019,6,22,25,2,7,June,Tuesday,3,Morbi neque,1,Action,3,Ullamcorper Magna Incorporated,Century,US,LX,Bastogne,25959,5.0,IJO12KKK5HL,0.0
51,51,204,3,2,5.0,35,4,0.0,4,5.0,51,Cairo Mcneil,"P.O. Box 380, 9057 Pharetra Rd.",Göteborg,80952,Västra Götalands län,US,204,2019-07-23,2019,7,23,30,3,3,July,Tuesday,3,Morbi neque,1,Action,2,Velit Pellentesque Ultricies LLP,Century,US,MI,Flint,40101,5.0,IJO12KKK5HL,0.0
52,52,180,3,1,5.0,35,4,0.0,4,5.0,52,Fritz Forbes,"P.O. Box 750, 5935 Pharetra. Avenue",Gönen,12611,Balikesir,US,180,2019-06-29,2019,6,29,26,2,7,June,Tuesday,3,Morbi neque,1,Action,1,Curabitur Ltd,Century,US,ON,Whitby,81324,5.0,IJO12KKK5HL,0.0
53,53,288,3,2,5.0,35,4,0.0,4,5.0,53,Rigel Bruce,752-592 Lorem Av.,Sabadell,55980,Catalunya,US,288,2019-10-15,2019,10,15,42,4,3,October,Tuesday,3,Morbi neque,1,Action,2,Velit Pellentesque Ultricies LLP,Century,US,MI,Flint,40101,5.0,IJO12KKK5HL,0.0
54,54,258,3,2,5.0,35,4,0.0,4,5.0,54,Moses Clarke,378-5822 Tincidunt St.,Lagos,70495,LA,US,258,2019-09-15,2019,9,15,38,3,1,September,Tuesday,3,Morbi neque,1,Action,2,Velit Pellentesque Ultricies LLP,Century,US,MI,Flint,40101,5.0,IJO12KKK5HL,0.0
55,55,105,3,2,5.0,35,4,0.0,4,5.0,55,Mallory Blackwell,2740 Lorem Rd.,Móstoles,17259,MA,US,105,2019-04-15,2019,4,15,16,2,2,April,Tuesday,3,Morbi neque,1,Action,2,Velit Pellentesque Ultricies LLP,Century,US,MI,Flint,40101,5.0,IJO12KKK5HL,0.0
56,56,71,3,3,5.0,35,4,0.0,4,5.0,56,Seth Sawyer,8661 Fringilla. St.,Slupsk,42018,Pomorskie,US,71,2019-03-12,2019,3,12,11,1,3,March,Tuesday,3,Morbi neque,1,Action,3,Ullamcorper Magna Incorporated,Century,US,LX,Bastogne,25959,5.0,IJO12KKK5HL,0.0
57,57,36,3,2,5.0,35,4,0.0,4,5.0,57,Magee Hinton,5744 Sed Rd.,Ponte San Nicolò,20457,Veneto,US,36,2019-02-05,2019,2,5,6,1,3,February,Tuesday,3,Morbi neque,1,Action,2,Velit Pellentesque Ultricies LLP,Century,US,MI,Flint,40101,5.0,IJO12KKK5HL,0.0
58,58,288,3,1,5.0,35,4,0.0,4,5.0,58,George James,"P.O. Box 974, 9992 Nulla Ave",Zierikzee,72328,Zl,US,288,2019-10-15,2019,10,15,42,4,3,October,Tuesday,3,Morbi neque,1,Action,1,Curabitur Ltd,Century,US,ON,Whitby,81324,5.0,IJO12KKK5HL,0.0
59,59,51,3,1,5.0,35,4,0.0,4,5.0,59,Kadeem Bradford,Ap #747-8190 Enim. St.,Valley East,18986,ON,US,51,2019-02-20,2019,2,20,8,1,4,February,Tuesday,3,Morbi neque,1,Action,1,Curabitur Ltd,Century,US,ON,Whitby,81324,5.0,IJO12KKK5HL,0.0
60,60,28,3,3,5.0,35,4,0.0,4,5.0,60,Cassidy Shepard,"P.O. Box 719, 5860 In Avenue",Comblain-au-Pont,79554,Luik,US,28,2019-01-28,2019,1,28,5,1,2,January,Tuesday,3,Morbi neque,1,Action,3,Ullamcorper Magna Incorporated,Century,US,LX,Bastogne,25959,5.0,IJO12KKK5HL,0.0
61,61,304,3,3,5.0,35,4,0.0,4,5.0,61,Henry Woodward,5084 Nunc Ave,Oviedo,58719,AS,US,304,2019-10-31,2019,10,31,44,4,5,October,Tuesday,3,Morbi neque,1,Action,3,Ullamcorper Magna Incorporated,Century,US,LX,Bastogne,25959,5.0,IJO12KKK5HL,0.0
62,62,159,3,1,5.0,35,4,0.0,4,5.0,62,Russell Crosby,Ap #272-177 Ut Road,Dannevirke,41203,North Island,US,159,2019-06-08,2019,6,8,23,2,7,June,Tuesday,3,Morbi neque,1,Action,1,Curabitur Ltd,Century,US,ON,Whitby,81324,5.0,IJO12KKK5HL,0.0
63,63,199,3,2,5.0,35,4,0.0,4,5.0,63,Keane Garza,"P.O. Box 297, 7617 Pellentesque Street",Beypazari,54176,Ankara,US,199,2019-07-18,2019,7,18,29,3,5,July,Tuesday,3,Morbi neque,1,Action,2,Velit Pellentesque Ultricies LLP,Century,US,MI,Flint,40101,5.0,IJO12KKK5HL,0.0
64,64,201,3,1,5.0,35,4,0.0,4,5.0,64,Drake Kemp,Ap #864-666 Diam. Av.,Tauranga,17879,North Island,US,201,2019-07-20,2019,7,20,29,3,7,July,Tuesday,3,Morbi neque,1,Action,1,Curabitur Ltd,Century,US,ON,Whitby,81324,5.0,IJO12KKK5HL,0.0
65,65,84,3,1,5.0,35,4,0.0,4,5.0,65,Macon Henry,"Ap #683-6794 Iaculis, Avenue",Reus,31596,CA,US,84,2019-03-25,2019,3,25,13,1,2,March,Tuesday,3,Morbi neque,1,Action,1,Curabitur Ltd,Century,US,ON,Whitby,81324,5.0,IJO12KKK5HL,0.0
66,66,137,3,1,5.0,35,4,0.0,4,5.0,66,Meghan Curry,Ap #926-7846 Rhoncus. Rd.,Merchtem,69203,Vlaams-Brabant,US,137,2019-05-17,2019,5,17,20,2,6,May,Tuesday,3,Morbi neque,1,Action,1,Curabitur Ltd,Century,US,ON,Whitby,81324,5.0,IJO12KKK5HL,0.0
67,67,114,3,2,5.0,35,4,0.0,4,5.0,67,Jade Young,"P.O. Box 375, 7243 Venenatis Rd.",Vienna,15559,Wie,US,114,2019-04-24,2019,4,24,17,2,4,April,Tuesday,3,Morbi neque,1,Action,2,Velit Pellentesque Ultricies LLP,Century,US,MI,Flint,40101,5.0,IJO12KKK5HL,0.0
68,68,154,3,1,5.0,35,4,0.0,4,5.0,68,Bradley Mcknight,7916 Semper Avenue,Canmore,48225,Alberta,US,154,2019-06-03,2019,6,3,23,2,2,June,Tuesday,3,Morbi neque,1,Action,1,Curabitur Ltd,Century,US,ON,Whitby,81324,5.0,IJO12KKK5HL,0.0
69,69,111,3,1,5.0,35,4,0.0,4,5.0,69,Micah Lucas,Ap #489-6365 Sit Ave,Kilmalcolm,90257,Renfrewshire,US,111,2019-04-21,2019,4,21,17,2,1,April,Tuesday,3,Morbi neque,1,Action,1,Curabitur Ltd,Century,US,ON,Whitby,81324,5.0,IJO12KKK5HL,0.0
70,70,89,3,2,5.0,35,4,0.0,4,5.0,70,Brielle Donovan,623-4346 Nullam Av.,Maryborough,92126,QLD,US,89,2019-03-30,2019,3,30,13,1,7,March,Tuesday,3,Morbi neque,1,Action,2,Velit Pellentesque Ultricies LLP,Century,US,MI,Flint,40101,5.0,IJO12KKK5HL,0.0
71,71,112,3,1,5.0,35,4,0.0,4,5.0,71,Wynter Winters,Ap #889-6014 In Ave,Westkapelle,94323,WV,US,112,2019-04-22,2019,4,22,17,2,2,April,Tuesday,3,Morbi neque,1,Action,1,Curabitur Ltd,Century,US,ON,Whitby,81324,5.0,IJO12KKK5HL,0.0
72,72,293,3,3,5.0,35,4,0.0,4,5.0,72,Preston Stein,856-9841 Eros Av.,Courbevoie,74080,IL,US,293,2019-10-20,2019,10,20,43,4,1,October,Tuesday,3,Morbi neque,1,Action,3,Ullamcorper Magna Incorporated,Century,US,LX,Bastogne,25959,5.0,IJO12KKK5HL,0.0
73,73,168,3,3,5.0,35,4,0.0,4,5.0,73,Patrick Pittman,5011 Ipsum Avenue,Chattanooga,23448,TN,US,168,2019-06-17,2019,6,17,25,2,2,June,Tuesday,3,Morbi neque,1,Action,3,Ullamcorper Magna Incorporated,Century,US,LX,Bastogne,25959,5.0,IJO12KKK5HL,0.0
74,74,279,3,2,5.0,35,4,0.0,4,5.0,74,Malachi Reed,"P.O. Box 913, 5497 Interdum Rd.",Bolano,19918,Liguria,US,279,2019-10-06,2019,10,6,41,4,1,October,Tuesday,3,Morbi neque,1,Action,2,Velit Pellentesque Ultricies LLP,Century,US,MI,Flint,40101,5.0,IJO12KKK5HL,0.0
75,75,252,3,2,5.0,35,4,0.0,4,5.0,75,Jillian Shaw,"P.O. Box 386, 4147 Varius Av.",Alajuela,51555,A,US,252,2019-09-09,2019,9,9,37,3,2,September,Tuesday,3,Morbi neque,1,Action,2,Velit Pellentesque Ultricies LLP,Century,US,MI,Flint,40101,5.0,IJO12KKK5HL,0.0
76,76,103,3,2,5.0,45,5,30.0,5,5.0,76,Kay Sharpe,"P.O. Box 297, 4696 Eu Avenue",Kollam,78085,KL,US,103,2019-04-13,2019,4,13,15,2,7,April,Tuesday,3,Morbi neque,1,Action,2,Velit Pellentesque Ultricies LLP,Century,US,MI,Flint,40101,5.0,IJO12KKK5HL,30.0
77,77,77,3,1,5.0,45,5,0.0,5,5.0,77,Eden Sharp,Ap #919-3669 Elementum St.,Roxboro,93036,QC,US,77,2019-03-18,2019,3,18,12,1,2,March,Tuesday,3,Morbi neque,1,Action,1,Curabitur Ltd,Century,US,ON,Whitby,81324,5.0,IJO12KKK5HL,0.0
78,78,74,3,3,5.0,45,5,0.0,5,5.0,78,Tiger Dillard,807-4683 Elit St.,Gaggio Montano,33812,ERM,US,74,2019-03-15,2019,3,15,11,1,6,March,Tuesday,3,Morbi neque,1,Action,3,Ullamcorper Magna Incorporated,Century,US,LX,Bastogne,25959,5.0,IJO12KKK5HL,0.0
79,79,138,3,1,5.0,45,5,0.0,5,5.0,79,Shafira Burnett,"P.O. Box 248, 6073 Et Avenue",Nagaon,18360,Assam,US,138,2019-05-18,2019,5,18,20,2,7,May,Tuesday,3,Morbi neque,1,Action,1,Curabitur Ltd,Century,US,ON,Whitby,81324,5.0,IJO12KKK5HL,0.0
80,80,147,3,2,5.0,45,5,0.0,5,5.0,80,Zoe Cameron,956-388 Nullam Street,Dublin,52807,Leinster,US,147,2019-05-27,2019,5,27,22,2,2,May,Tuesday,3,Morbi neque,1,Action,2,Velit Pellentesque Ultricies LLP,Century,US,MI,Flint,40101,5.0,IJO12KKK5HL,0.0
81,81,2,3,2,5.0,45,5,0.0,5,5.0,81,Yoshio Becker,"P.O. Box 751, 8791 Ac Ave",Eindhoven,25884,N.,US,2,2019-01-02,2019,1,2,1,1,4,January,Tuesday,3,Morbi neque,1,Action,2,Velit Pellentesque Ultricies LLP,Century,US,MI,Flint,40101,5.0,IJO12KKK5HL,0.0
82,82,205,3,1,5.0,45,5,0.0,5,5.0,82,Illiana Horn,Ap #931-8354 Ultrices Avenue,Kano,41142,KN,US,205,2019-07-24,2019,7,24,30,3,4,July,Tuesday,3,Morbi neque,1,Action,1,Curabitur Ltd,Century,US,ON,Whitby,81324,5.0,IJO12KKK5HL,0.0
